ts_event,OF_bid_1,OF_ask_1,instrument_id,symbol,OFI_1
2024-10-21 11:54:00+00:00,5.0,399.0,38,AAPL,-394.0
2024-10-21 11:55:00+00:00,-516.0,298.0,38,AAPL,-814.0
2024-10-21 11:56:00+00:00,-1.0,-301.0,38,AAPL,300.0
2024-10-21 11:57:00+00:00,201.0,-578.0,38,AAPL,779.0
2024-10-21 11:58:00+00:00,162.0,-315.0,38,AAPL,477.0
2024-10-21 11:59:00+00:00,200.0,-150.0,38,AAPL,350.0
2024-10-21 12:00:00+00:00,499.0,-130.0,38,AAPL,629.0
2024-10-21 12:01:00+00:00,1.0,399.0,38,AAPL,-398.0
2024-10-21 12:02:00+00:00,-1.0,500.0,38,AAPL,-501.0
2024-10-21 12:03:00+00:00,1.0,450.0,38,AAPL,-449.0
2024-10-21 12:04:00+00:00,0.0,-147.0,38,AAPL,147.0
2024-10-21 12:05:00+00:00,1087.0,-55.0,38,AAPL,1142.0
2024-10-21 12:06:00+00:00,200.0,-459.0,38,AAPL,659.0
2024-10-21 12:07:00+00:00,929.0,94.0,38,AAPL,835.0
2024-10-21 12:08:00+00:00,743.0,-261.0,38,AAPL,1004.0
2024-10-21 12:09:00+00:00,211.0,0.0,38,AAPL,211.0
2024-10-21 12:10:00+00:00,0.0,0.0,38,AAPL,0.0
2024-10-21 12:11:00+00:00,-1.0,0.0,38,AAPL,-1.0
2024-10-21 12:12:00+00:00,-66.0,-226.0,38,AAPL,160.0
2024-10-21 12:13:00+00:00,1200.0,-779.0,38,AAPL,1979.0
2024-10-21 12:14:00+00:00,-22.0,0.0,38,AAPL,-22.0
2024-10-21 12:15:00+00:00,-33.0,-1109.0,38,AAPL,1076.0
2024-10-21 12:16:00+00:00,741.0,1289.0,38,AAPL,-548.0
2024-10-21 12:17:00+00:00,-568.0,92.0,38,AAPL,-660.0
2024-10-21 12:18:00+00:00,200.0,1300.0,38,AAPL,-1100.0
2024-10-21 12:19:00+00:00,400.0,450.0,38,AAPL,-50.0
2024-10-21 12:20:00+00:00,955.0,950.0,38,AAPL,5.0
2024-10-21 12:21:00+00:00,0.0,0.0,38,AAPL,0.0
2024-10-21 12:22:00+00:00,-650.0,-48.0,38,AAPL,-602.0
2024-10-21 12:23:00+00:00,-596.0,-19.0,38,AAPL,-577.0
2024-10-21 12:24:00+00:00,100.0,174.0,38,AAPL,-74.0
2024-10-21 12:25:00+00:00,101.0,-79.0,38,AAPL,180.0
2024-10-21 12:26:00+00:00,195.0,-44.0,38,AAPL,239.0
2024-10-21 12:27:00+00:00,100.0,-410.0,38,AAPL,510.0
2024-10-21 12:28:00+00:00,-110.0,483.0,38,AAPL,-593.0
2024-10-21 12:29:00+00:00,-185.0,1323.0,38,AAPL,-1508.0
2024-10-21 12:30:00+00:00,-107.0,99.0,38,AAPL,-206.0
2024-10-21 12:31:00+00:00,207.0,1453.0,38,AAPL,-1246.0
2024-10-21 12:32:00+00:00,-291.0,180.0,38,AAPL,-471.0
2024-10-21 12:33:00+00:00,14.0,26.0,38,AAPL,-12.0
2024-10-21 12:34:00+00:00,200.0,155.0,38,AAPL,45.0
2024-10-21 12:35:00+00:00,80.0,-847.0,38,AAPL,927.0
2024-10-21 12:36:00+00:00,100.0,387.0,38,AAPL,-287.0
2024-10-21 12:37:00+00:00,-99.0,252.0,38,AAPL,-351.0
2024-10-21 12:38:00+00:00,98.0,61.0,38,AAPL,37.0
2024-10-21 12:39:00+00:00,0.0,-26.0,38,AAPL,26.0
2024-10-21 12:40:00+00:00,505.0,-28.0,38,AAPL,533.0
2024-10-21 12:41:00+00:00,-339.0,4.0,38,AAPL,-343.0
2024-10-21 12:42:00+00:00,400.0,16.0,38,AAPL,384.0
2024-10-21 12:43:00+00:00,110.0,53.0,38,AAPL,57.0
2024-10-21 12:44:00+00:00,-100.0,-193.0,38,AAPL,93.0
2024-10-21 12:45:00+00:00,24.0,411.0,38,AAPL,-387.0
2024-10-21 12:46:00+00:00,0.0,-178.0,38,AAPL,178.0
2024-10-21 12:47:00+00:00,-10.0,-85.0,38,AAPL,75.0
2024-10-21 12:48:00+00:00,10.0,28.0,38,AAPL,-18.0
2024-10-21 12:49:00+00:00,281.0,320.0,38,AAPL,-39.0
2024-10-21 12:50:00+00:00,0.0,-400.0,38,AAPL,400.0
2024-10-21 12:51:00+00:00,-200.0,135.0,38,AAPL,-335.0
2024-10-21 12:52:00+00:00,54.0,308.0,38,AAPL,-254.0
2024-10-21 12:53:00+00:00,0.0,1180.0,38,AAPL,-1180.0
2024-10-21 12:54:00+00:00,112.0,267.0,38,AAPL,-155.0
2024-10-21 12:55:00+00:00,-11.0,1890.0,38,AAPL,-1901.0
2024-10-21 12:56:00+00:00,0.0,-217.0,38,AAPL,217.0
2024-10-21 12:57:00+00:00,25.0,0.0,38,AAPL,25.0
2024-10-21 12:58:00+00:00,291.0,101.0,38,AAPL,190.0
2024-10-21 12:59:00+00:00,100.0,100.0,38,AAPL,0.0
2024-10-21 13:00:00+00:00,-200.0,803.0,38,AAPL,-1003.0
2024-10-21 13:01:00+00:00,-19.0,1103.0,38,AAPL,-1122.0
2024-10-21 13:02:00+00:00,-1877.0,2625.0,38,AAPL,-4502.0
2024-10-21 13:03:00+00:00,79.0,-61.0,38,AAPL,140.0
2024-10-21 13:04:00+00:00,-1.0,195.0,38,AAPL,-196.0
